portal,operacion,url,titulo,tipo_inmueble,barrio,precio_moneda,precio_valor,gastos_comunes,dormitorios,banos,m2
InfoCasas,venta,https://www.infocasas.com.uy/venta-apartamento-2-dorm-en-la-blanqueada-fco-simon/189977621,"Venta apartamento 2 dorm en La Blanqueada, Fco. Simón",Apartamento,La Blanqueada,USD,185000,10000,2,2,60
InfoCasas,alquiler,https://www.infocasas.com.uy/alquiler-apartamento-1-dormitorio-con-terraza-y-parrillero-en-punta-carretas/193988129,Alquiler Apartamento 1 Dormitorio con Terraza y Parrillero En Punta Carretas,Apartamento,Punta Carretas,UYU,35000,6000,1,1,40
InfoCasas,alquiler,https://www.infocasas.com.uy/apartamento-en-alquiler-en-pocitos-621-en-edificio-torre-sabato-de-3-dormitorios-con-terraza-y-vista-despejada/193767934,"Apartamento en alquiler en Pocitos 621, en Edificio Torre Sábato, de 3 dormitorios, con terraza y vista despejada",Apartamento,Pocitos,USD,1800,24000,3,3,110
InfoCasas,alquiler,https://www.infocasas.com.uy/apartamento-en-punta-carretas-en-ubicacion-privilegiada/193893393,Apartamento en Punta Carretas en ubicación privilegiada.,Apartamento,Punta Carretas,USD,1800,10000,2,2,80
InfoCasas,alquiler,https://www.infocasas.com.uy/apartamento-en-alquiler-punta-carretas-inmobiliaria-lars/193952001,Apartamento en alquiler / Punta Carretas - Inmobiliaria Lars,Apartamento,Punta Carretas,UYU,28000,4200,1,1,32
InfoCasas,alquiler,https://www.infocasas.com.uy/alquiler-apartamento-1-dorm-en-tres-cruces-d-terra/193937077,"Alquiler apartamento 1 dorm en Tres Cruces, D. Terra",Apartamento,Tres Cruces,UYU,18000,,1,1,44
InfoCasas,alquiler,https://www.infocasas.com.uy/moderno-apartamento-en-alquiler-con-vistas-panoramicas-y-balcon/193807116,Moderno Apartamento en Alquiler con Vistas Panorámicas y Balcón,Apartamento,Punta Carretas,USD,3300,16000,2,3,155
InfoCasas,alquiler,https://www.infocasas.com.uy/se-alquila-hermoso-apartamento-amueblado-loft/193758352,SE ALQUILA HERMOSO APARTAMENTO AMUEBLADO LOFT,Apartamento,Pocitos,UYU,35000,6000,1,1,42
InfoCasas,alquiler,https://www.infocasas.com.uy/centro-proximo-a-cordon-ciudad-vieja-palermo-/193735383,"Centro, proximo a Cordon, Ciudad Vieja, Palermo !",Apartamento,Centro,UYU,15000,2862,0,1,19
InfoCasas,alquiler,https://www.infocasas.com.uy/alquiler-de-apartamento-de-1-dormitorio-en-cordon-mundra/193821897,"Alquiler de apartamento de 1 dormitorio en Cordón, Mundra",Apartamento,Cordón,UYU,30000,5400,1,1,54
InfoCasas,alquiler,https://www.infocasas.com.uy/alquiler-un-dormitorio-amueblado-a-estrenar-en-parque-rodo/193947639,Alquiler un dormitorio Amueblado a Estrenar en Parque Rodó,Proyecto,Parque Rodó,USD,1690,5850,1,1,72
InfoCasas,alquiler,https://www.infocasas.com.uy/buceo-alquilo-apartamento-duplex-2-dormitorios-con-azotea-y-parrillero/193863027,BUCEO ALQUILO APARTAMENTO DUPLEX 2 DORMITORIOS CON AZOTEA Y PARRILLERO,Apartamento,Buceo,UYU,43000,5400,2,2,70
InfoCasas,alquiler,https://www.infocasas.com.uy/alquiler-de-apartamento-de-2-dormitorios-a-estrenar-en-cordon-sur/193827220,Alquiler de apartamento de 2 dormitorios a estrenar en Cordón Sur.,Apartamento,Cordón,UYU,34000,,2,1,75
InfoCasas,alquiler,https://www.infocasas.com.uy/alquiler-apartamento-2-dormitorios-parque-madero-parque-miramar/193843571,"Alquiler apartamento 2 dormitorios, Parque Madero - Parque Miramar",Apartamento,Parque Miramar,USD,1500,11000,2,2,91
InfoCasas,alquiler,https://www.infocasas.com.uy/alquiler-apartamento-1-dormitorio-buceo-saldanha-da-gama-y-meliton-gonzalez-proximo-a-rambla-y-shop/193906204,ALQUILER APARTAMENTO 1 DORMITORIO BUCEO SALDANHA DA GAMA Y MELITON GONZALEZ PROXIMO A  RAMBLA Y SHOP,Apartamento,Buceo,UYU,24000,,1,1,30
InfoCasas,alquiler,https://www.infocasas.com.uy/departamento-puerto-buceo/190967573,Departamento - Puerto Buceo,Apartamento,Puerto Buceo,USD,5500,55000,3,3,322
InfoCasas,alquiler,https://www.infocasas.com.uy/alquiler-casa-2-dormitorios-en-la-union/193807112,Alquiler Casa 2 dormitorios en La Unión,Casa,Unión,UYU,17000,,2,1,45
InfoCasas,alquiler,https://www.infocasas.com.uy/casa-4-dormitorios-gran-terreno-y-salida-a-2-calles/193985114,Casa 4 Dormitorios Gran Terreno Y Salida A 2 Calles,Casa,Carrasco Norte,USD,3200,,4,3,251
InfoCasas,alquiler,https://www.infocasas.com.uy/apartamento-de-1-dormitorio-en-alquiler-con-terraza-en-centro/193891675,Apartamento de 1 dormitorio en alquiler con terraza en Centro,Apartamento,Centro,UYU,28000,,1,1,40
InfoCasas,alquiler,https://www.infocasas.com.uy/alquiler-apartamento-de-un-dormitorio-con-garage-a-estrenar/193684472,ALQUILER | APARTAMENTO DE UN DORMITORIO CON GARAGE - A ESTRENAR,Apartamento,Centro,UYU,31500,3500,1,1,33
InfoCasas,alquiler,https://www.infocasas.com.uy/oficina-en-alquiler-ubicado-en-centro/193784883,Oficina en alquiler ubicado en Centro,Oficina,Centro,USD,1500,4,,2,100
InfoCasas,alquiler,https://www.infocasas.com.uy/exquisito-apartamento-en-alquiler-lujo-y-confort-amueblado-o-sin-amueblar/193623245,"Exquisito Apartamento en Alquiler: Lujo y Confort, Amueblado o Sin Amueblar",Apartamento,Pocitos,USD,2300,26000,3,3,170
InfoCasas,alquiler,https://www.infocasas.com.uy/excelente-apartamento-frente-al-lago-de-parque-miramar/193983802,Excelente apartamento frente al lago de Parque Miramar,Apartamento,Parque Miramar,UYU,40000,4500,1,1,37
InfoCasas,alquiler,https://www.infocasas.com.uy/alquiler-de-apartamento-de-1-dormitorio-planta-baja-carrasco-norte/193555203,"Alquiler de apartamento de 1 dormitorio, planta baja- Carrasco Norte",Apartamento,Carrasco Norte,UYU,24500,2000,1,1,31
InfoCasas,alquiler,https://www.infocasas.com.uy/alquilo-casa-reciclada-pocitos-1-dormitorio-patio-a-metros-de-av-brasil/193725222,Alquilo Casa Reciclada Pocitos 1 Dormitorio Patio A Metros De Av. Brasil,Casa,Pocitos,UYU,30000,,1,1,60
InfoCasas,alquiler,https://www.infocasas.com.uy/alquiler-apartamento-2-dormitorios-y-servicio-forum-puerto-buceo/193887476,Alquiler Apartamento 2 Dormitorios y Servicio Forum Puerto Buceo,Apartamento,Puerto Buceo,USD,4000,15000,2,3,90
InfoCasas,alquiler,https://www.infocasas.com.uy/espectacular-casa-reciclada-en-carrasco-en-venta-y-alquiler/192634050,Espectacular Casa Reciclada en Carrasco en Venta y Alquiler,Casa,Carrasco,USD,10000,,4,3,510
InfoCasas,alquiler,https://www.infocasas.com.uy/espectacular-casa-amoblada-en-alquiler-en-carrasco/192618814,Espectacular Casa Amoblada En Alquiler En Carrasco,Casa,Carrasco,USD,7800,,5,3,798
InfoCasas,alquiler,https://www.infocasas.com.uy/casa-alquiler-parque-rodo-6-dormitorios-garaje-fondo-piscina-parrillero-impecable-vivienda-o-empresa/193790576,Casa Alquiler Parque Rodo 6 Dormitorios Garaje Fondo Piscina Parrillero Impecable Vivienda O Empresa,Casa,Parque Rodó,UYU,100000,,6,2,198
InfoCasas,alquiler,https://www.infocasas.com.uy/verdi-a-metros-de-plaza-de-los-olimpicos/187406109,Verdi a metros de Plaza de los Olimpicos,Apartamento,Malvín,UYU,19900,2500,0,1,28
InfoCasas,alquiler,https://www.infocasas.com.uy/apartamento-de-2-dormitorios-y-garage-en-alquiler-en-malvin/193930072,APARTAMENTO DE 2 DORMITORIOS Y GARAGE EN ALQUILER EN MALVÍN,Apartamento,Malvín,UYU,54800,3200,2,1,63
InfoCasas,alquiler,https://www.infocasas.com.uy/alquiler-apartamento-1-dormitorio-con-balcon-cordon/193863602,Alquiler apartamento 1 dormitorio con balcón - Cordón,Apartamento,Cordón,UYU,27000,49996,1,1,46
InfoCasas,alquiler,https://www.infocasas.com.uy/alquiler-pocitos-3-dormitorios-2-terrazas-parrillero/193850136,"ALQUILER POCITOS, 3 DORMITORIOS, 2 TERRAZAS, PARRILLERO",Apartamento,Pocitos,UYU,39000,4500,3,1,70
InfoCasas,alquiler,https://www.infocasas.com.uy/alquiler-apartamento-barrio-parques-alive-3-dormitorios-en-suite/193780364,Alquiler Apartamento Barrio Parques Alive 3 dormitorios en suite,Apartamento,Barrio San Nicolás,USD,3250,29000,3,3,176
InfoCasas,alquiler,https://www.infocasas.com.uy/alquiler-apartamento-1-dormitorio-cterraza-y-opcion-garage-en-cordon/193832816,Alquiler Apartamento 1 dormitorio c/terraza y opción garage en Cordón,Apartamento,Cordón,UYU,27000,4000,1,1,40
InfoCasas,alquiler,https://www.infocasas.com.uy/alquiler-de-apartamento-de-3-dormitorios-en-punta-carretas-montevideo/193713100,"Alquiler de apartamento de 3 dormitorios en Punta Carretas, Montevideo",Apartamento,Punta Carretas,UYU,80000,34500,3,2,178
